Não existe um <b>cálculo</b> preciso do número de mortos entre os iraquianos.	Um <b>cálculo</b> simples indica que nestas décadas houve um morto por terrorismo cada 2 dias.	T
A capacidade para roubar a <b>bola</b> ao adversário é o seu melhor trunfo.	A capacidade para roubar o <b>esférico</b> ao adversário é o seu melhor trunfo.	T
Vou <b>atacar</b> bem os ténis.	Vamos jogar mais ou menos fechados na retaguarda e <b>atacar</b> quando tivermos a bola.	F
Sem esse sistema, o navegador está privado de um auxílio fundamental para adaptar sozinho o tamanho da <b>vela</b> à força dos ventos.	A medida que o vento aumenta, optamos por envergar menos <b>pano</b>.	T
Esquece sempre de <b>atar</b> os sapatos.	Vou <b>atacar</b> bem os ténis.	T
Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Em alguns casos eu <b>cheiro</b> e vejo se tem alguma afinidade, e aí aceito.	F
Falta uma <b>hora</b> para as nove.	Juntam quase um <b>quarto</b> dos habitantes, os quais gastam cerca de 1200 contos por ano.	F
A Isabel fez uma <b>sopa</b> de chouriço muito boa.	Estão a cozer as <b>bolas</b> para amanhã.	F
O marido está no <b>dormitório</b> ao lado.	Falta um <b>quarto</b> para as nove.	F
Uma área destinada a dar a conhecer ao público português o universo da criação nipónica no campo dos <b>manga</b>.	Viajou com um amigo da mesma idade e trazia ao ombro uma pequena trouxa com uma banana e um <b>mango</b>, para enganar o estômago na viagem.	F
A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Ele era ex-governador do <b>banco</b> central.	F
Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	F
Em 1994 chegou a ser necessário extraírem-lhe uma <b>pedra</b> na vesícula.	Em 1994 chegou a ser necessário extraírem-lhe um <b>cálculo</b> na vesícula.	T
Foi acusado de <b>conhecer</b> a existência de uma conta secreta na Suíça.	Com toques de canela, vai <b>saber</b> muito bem com um chá!	F
Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	F
Pode-se <b>anular</b> todas as leis que se queira, comentou encolhendo os ombros.	O Tribunal acabaria por <b>invalidar</b> a compra do imóvel pelo Banif.	T
Em 1994 chegou a ser necessário extraírem-lhe uma <b>pedra</b> na vesícula.	Um <b>cômputo</b> simples indica que nestas décadas houve um morto por terrorismo cada 2 dias.	F
Só com um <b>círio</b> aceso se descobre um livro sobre este tema numa das grandes livrarias de Lisboa.	Cinco embarcações, a motor e à <b>vela</b>, transportarão ao longo de todo o percurso da prova o júri.	F
Sem esse sistema, o navegador está privado de um auxílio fundamental para adaptar sozinho o tamanho da <b>vela</b> à força dos ventos.	E é à luz de um <b>círio</b> que vai ver fotografias que o torturam e ler páginas do diário que acaba por queimar.	F
Então, se acendes a <b>vela</b>, já não está escuro, é bom.	A medida que o vento aumenta, optamos por envergar menos <b>pano</b>.	F
Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	F
Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	F
Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	F
A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	T
Estão a cozer as <b>bolas</b> para amanhã.	Nogueira, à boca da baliza, não foi capaz de tocar o <b>esférico</b> na sequência de um canto.	F
Foi acusado de <b>conhecer</b> a existência de uma conta secreta na Suíça.	Para além de <b>saber</b> muito bem antes de uma sardinha assada numa noite de santos populares, também é uma boa escolha para um jantar.	F
Uma área destinada a dar a conhecer ao público português o universo da criação nipónica no campo dos <b>manga</b>.	A influência dos <b>poetas</b> começa a tornar-se uma característica frequente no panorama europeu de histórias aos quadradinhos.	F
Nunca na minha vida comi tanta <b>manga</b> nem tanta fruta.	O kiwi ou a <b>banana</b> frequentemente apodrecem por não terem compradores.	F
E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	T
A medida que o vento aumenta, optamos por envergar menos <b>pano</b>.	E é à luz de uma <b>vela</b> que vai ver fotografias que o torturam e ler páginas do diário que acaba por queimar.	F
Não <b>olho</b> tanto para esse fator individual.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	T
Mas resta <b>saber</b> se o tiro não lhe vai sair pela culatra.	Foi acusado de <b>saber</b> da existência de uma conta secreta na Suíça.	T
Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	F
